SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SOL·LICITANT,ESTAT,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD,NÚM. AEROGENERADORS,AEROGENERADORS AL MUNICIPI
,Coll de Panissot,Catalunya,9,Almatret,250208,Segrià,33,Lleida,"ECOTECNIA ENERGIAS RENOVABLES, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,3,3
,Colladetes,Catalunya,36.63,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,"ENERVENT, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,54,54
,Collet dels Feixos,Catalunya,7.8,Alforja,430094,Baix Camp,08,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,6,3
,Collet dels Feixos,Catalunya,0,Duesaigües,430537,Baix Camp,08,Camp de Tarragona,"ESBRUG, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,3
,Conesa,Catalunya,30,Conesa,430461,Conca de Barberà,16,Camp de Tarragona,"SISTEMES ENERGÈTICS DE Conesa I, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,15,15
,Conesa II,Catalunya,32,Forès,430614,Conca de Barberà,16,Camp de Tarragona,"GERR GRUPO ENERGÉTICO XXI, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,16,9
,Conesa II,Catalunya,0,Conesa,430461,Conca de Barberà,16,Camp de Tarragona,"GERR GRUPO ENERGÉTICO XXI, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,0,7
,Corbera,Catalunya,49.2,Corbera d'Ebre,430483,Terra Alta,37,Terres de l'Ebre,"BON VENT DE CORBERA, SLU",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,22,22
,Ecovent,Catalunya,48.1,Tortosa,431554,Baix Ebre,09,Terres de l'Ebre,"ECOVENT PARC EÒLIC, SA",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,37,37
,El Motarro,Catalunya,2.64,Vandellòs i l'Hospitalet de l'Infant,431628,Baix Camp,08,Camp de Tarragona,"EÒLICA DE MONTALT, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,2,2
,Els Escambrons,Catalunya,48,Almatret,250208,Segrià,33,Lleida,"EMPORDÀ VENT, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,16,16
,Fatarella,Catalunya,48,"Fatarella, la",430568,Terra Alta,37,Terres de l'Ebre,"BON VENT DE L'EBRE, SL",En servei,Supòsit d'AIA,DIA/IIA Finalitzats,,,21,21
