SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),SUPERFÍCIE (Ha),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SUPERFÍCIE AL MUNICIPI (Ha),SOL·LICITANT,ESTAT,TIPUS DE SÒL,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD
FUE-2023-03346008,PSFV Espinalbet,Catalunya,2.25,4.12,Castellar del Riu,080500,Berguedà,14,Catalunya Central,4.12,"ESTABANELL GENERACIÓ, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03355069,PSFV La Balmeta-Avinyó,Catalunya,2.1,3.58,Avinyó,080121,Bages,07,Catalunya Central,3.58,"LANGA LIGHT 1, SL",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03360577,PSFV Serra Magre,Catalunya,5.334,6.42,Riudarenes,171485,Selva,34,Girona,6.42,"Electrogen Division, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/10/2024,No cal AIA ordinària
FUE-2023-03364786,PSFV Osona I,Catalunya,5,9.95,"Masies de Roda, les",081167,Osona,24,Catalunya Central,7.3,"Capwatt Solar Esp 1, SL",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/10/2024,No cal AIA ordinària
FUE-2023-03364786,PSFV Osona I,Catalunya,0,0,"Esquirol, l'",082541,Osona,24,Catalunya Central,2.65,"Capwatt Solar Esp 1, SL",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/10/2024,No cal AIA ordinària
FUE-2023-03368581,PSFV Eguzki Manpray,Catalunya,4.95,9.99,Folgueroles,080832,Osona,24,Catalunya Central,9.99,"EGUZKI MANPRAY, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,En redacció DIA/IIA,,
FUE-2023-03370138,PSFV Mas Guri,Catalunya,3,6.08,Cassà de la Selva,170448,Gironès,20,Girona,6.08,"Alianza de Ingenieria y Desarrollo Renovable, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03373893,PSFV Bonaire,Catalunya,1.4,2.7,Terrassa,082798,Vallès Occidental,40,Barcelona,2.7,"SOLAR RENOVABLES DEL VALLES, S.L.",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03403258,PSFV Sol de Vinatesa,Catalunya,5,8.27,Lleida,251207,Segrià,33,Lleida,8.27,"AVEOLIA, SL",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03404314,PSFV El Serrat,Catalunya,1.5,2.05,Balsareny,080180,Bages,07,Catalunya Central,2.05,"Alianza de Ingeniería y Desarrollo Renovable, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03406288,PSFV La Femosa,Catalunya,2.4,2.95,Lleida,251207,Segrià,33,Lleida,2.95,"Lux Ilerdensi Renovables, S.L.",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03421354,PSFV Cambrils,Catalunya,5.94,8.82,Cambrils,430385,Baix Camp,08,Camp de Tarragona,8.82,EWD ENERGY FV I SOCIEDAD LIMITADA,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03421377,PSFV La Selva,Catalunya,5.94,9.27,"Selva del Camp, la",431457,Baix Camp,08,Camp de Tarragona,9.27,EWD ENERGY FV I SOCIEDAD LIMITADA,En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03435613,PSFV Quintana,Catalunya,2.816,4.08,"Ametlla del Vallès, l'",080057,Vallès Oriental,41,Barcelona,4.08,"Arqueta Solar, S.L.",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
FUE-2023-03440787,PSFV Martorell,Catalunya,2.85,3.68,Martorell,081141,Baix Llobregat,11,Barcelona,3.68,"ERASP SPAIN, SLU",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03460826,PSFV EGK Serralada Camps del Cabo,Catalunya,4.95,10.65,Seva,082690,Osona,24,Catalunya Central,10.65,"EGUZKI SERRALADA, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03468623,PSFV El Tossalet,Catalunya,4.48,9.94,Albatàrrec,250077,Segrià,33,Lleida,9.94,"Concom Solar 01, S.L",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2023-03470035,PSFV OMYA,Catalunya,2.75,4.45,Castellet i la Gornal,080581,Alt Penedès,03,Penedès,4.45,"OMYA Clariana, SLU",En tramitació,Sòl no urbanitzable,No supòsit d'AIA,Informat,,
